Date: 20240912 18:06:00 Europe/Helsinki, O: 222.33, H: 222.5, L: 222.32, C 222.49
Date: 20240912 18:07:00 Europe/Helsinki, O: 222.49, H: 222.61, L: 222.48, C 222.56
Date: 20240912 18:08:00 Europe/Helsinki, O: 222.56, H: 222.86, L: 222.52, C 222.84
Date: 20240912 18:09:00 Europe/Helsinki, O: 222.84, H: 222.89, L: 222.76, C 222.87
Date: 20240912 18:10:00 Europe/Helsinki, O: 222.87, H: 222.91, L: 222.79, C 222.85
Date: 20240912 18:11:00 Europe/Helsinki, O: 222.85, H: 222.93, L: 222.83, C 222.92
Date: 20240912 18:12:00 Europe/Helsinki, O: 222.92, H: 223.03, L: 222.83, C 222.86
Date: 20240912 18:13:00 Europe/Helsinki, O: 222.86, H: 223.06, L: 222.82, C 222.94
Date: 20240912 18:14:00 Europe/Helsinki, O: 222.94, H: 222.94, L: 222.71, C 222.73
Date: 20240912 18:15:00 Europe/Helsinki, O: 222.73, H: 222.74, L: 222.05, C 222.19
Date: 20240912 18:16:00 Europe/Helsinki, O: 222.19, H: 222.32, L: 221.95, C 222.15
Date: 20240912 18:17:00 Europe/Helsinki, O: 222.15, H: 222.19, L: 222.02, C 222.07
Date: 20240912 18:18:00 Europe/Helsinki, O: 222.07, H: 222.15, L: 221.98, C 222.0
Date: 20240912 18:19:00 Europe/Helsinki, O: 222.0, H: 222.16, L: 221.98, C 222.12
Date: 20240912 18:20:00 Europe/Helsinki, O: 222.12, H: 222.19, L: 222.03, C 222.1
Date: 20240912 18:21:00 Europe/Helsinki, O: 222.1, H: 222.17, L: 221.99, C 222.05
Date: 20240912 18:22:00 Europe/Helsinki, O: 222.05, H: 222.07, L: 221.8, C 221.91
Date: 20240912 18:23:00 Europe/Helsinki, O: 221.91, H: 222.15, L: 221.9, C 222.01
Date: 20240912 18:24:00 Europe/Helsinki, O: 222.01, H: 222.05, L: 221.93, C 221.98
Date: 20240912 18:25:00 Europe/Helsinki, O: 221.98, H: 222.08, L: 221.87, C 221.94
Date: 20240912 18:26:00 Europe/Helsinki, O: 221.94, H: 221.98, L: 221.68, C 221.9
Date: 20240912 18:27:00 Europe/Helsinki, O: 221.9, H: 222.23, L: 221.89, C 222.14
Date: 20240912 18:28:00 Europe/Helsinki, O: 222.14, H: 222.18, L: 222.07, C 222.07
Date: 20240912 18:29:00 Europe/Helsinki, O: 222.07, H: 222.09, L: 221.84, C 221.9
Date: 20240912 18:30:00 Europe/Helsinki, O: 221.9, H: 221.94, L: 221.76, C 221.88
Date: 20240912 18:31:00 Europe/Helsinki, O: 221.88, H: 222.17, L: 221.84, C 222.15
Date: 20240912 18:32:00 Europe/Helsinki, O: 222.15, H: 222.38, L: 222.15, C 222.35
Date: 20240912 18:33:00 Europe/Helsinki, O: 222.35, H: 222.37, L: 222.22, C 222.3
Date: 20240912 18:34:00 Europe/Helsinki, O: 222.3, H: 222.38, L: 222.21, C 222.23
Date: 20240912 18:35:00 Europe/Helsinki, O: 222.23, H: 222.54, L: 222.22, C 222.49
Date: 20240912 18:36:00 Europe/Helsinki, O: 222.49, H: 222.51, L: 222.26, C 222.26
Date: 20240912 18:37:00 Europe/Helsinki, O: 222.26, H: 222.3, L: 222.07, C 222.17
Date: 20240912 18:38:00 Europe/Helsinki, O: 222.17, H: 222.2, L: 222.06, C 222.13
Date: 20240912 18:39:00 Europe/Helsinki, O: 222.13, H: 222.2, L: 222.06, C 222.16
Date: 20240912 18:40:00 Europe/Helsinki, O: 222.16, H: 222.19, L: 222.09, C 222.13
Date: 20240912 18:41:00 Europe/Helsinki, O: 222.13, H: 222.3, L: 222.12, C 222.25
Date: 20240912 18:42:00 Europe/Helsinki, O: 222.25, H: 222.27, L: 222.14, C 222.14
Date: 20240912 18:43:00 Europe/Helsinki, O: 222.14, H: 222.21, L: 221.96, C 221.99
Date: 20240912 18:44:00 Europe/Helsinki, O: 221.99, H: 222.06, L: 221.89, C 221.98
Date: 20240912 18:45:00 Europe/Helsinki, O: 221.98, H: 222.01, L: 221.88, C 221.98
Date: 20240912 18:46:00 Europe/Helsinki, O: 221.98, H: 222.0, L: 221.78, C 221.82
Date: 20240912 18:47:00 Europe/Helsinki, O: 221.82, H: 221.94, L: 221.82, C 221.88
Date: 20240912 18:48:00 Europe/Helsinki, O: 221.88, H: 221.94, L: 221.84, C 221.88
Date: 20240912 18:49:00 Europe/Helsinki, O: 221.88, H: 222.06, L: 221.88, C 221.94
Date: 20240912 18:50:00 Europe/Helsinki, O: 221.94, H: 222.03, L: 221.92, C 222.03
Date: 20240912 18:51:00 Europe/Helsinki, O: 222.03, H: 222.12, L: 221.98, C 221.99
Date: 20240912 18:52:00 Europe/Helsinki, O: 221.99, H: 222.1, L: 221.95, C 222.08
Date: 20240912 18:53:00 Europe/Helsinki, O: 222.08, H: 222.11, L: 221.96, C 221.97
Date: 20240912 18:54:00 Europe/Helsinki, O: 221.97, H: 222.09, L: 221.86, C 222.07
Date: 20240912 18:55:00 Europe/Helsinki, O: 222.07, H: 222.16, L: 222.06, C 222.06
Date: 20240912 18:56:00 Europe/Helsinki, O: 222.06, H: 222.19, L: 222.06, C 222.09
Date: 20240912 18:57:00 Europe/Helsinki, O: 222.09, H: 222.09, L: 221.95, C 221.98
Date: 20240912 18:58:00 Europe/Helsinki, O: 221.98, H: 222.02, L: 221.91, C 222.0
Date: 20240912 18:59:00 Europe/Helsinki, O: 222.0, H: 222.01, L: 221.88, C 221.99
Date: 20240912 19:00:00 Europe/Helsinki, O: 221.99, H: 222.02, L: 221.92, C 221.99
Date: 20240912 19:01:00 Europe/Helsinki, O: 221.99, H: 222.05, L: 221.92, C 221.93
Date: 20240912 19:02:00 Europe/Helsinki, O: 221.93, H: 222.05, L: 221.92, C 222.03
Date: 20240912 19:03:00 Europe/Helsinki, O: 222.03, H: 222.12, L: 221.98, C 222.07
Date: 20240912 19:04:00 Europe/Helsinki, O: 222.07, H: 222.12, L: 222.05, C 222.11
Date: 20240912 19:05:00 Europe/Helsinki, O: 222.11, H: 222.19, L: 222.03, C 222.09
Date: 20240912 19:06:00 Europe/Helsinki, O: 222.09, H: 222.21, L: 222.06, C 222.19
Date: 20240912 19:07:00 Europe/Helsinki, O: 222.19, H: 222.21, L: 221.9, C 221.94
Date: 20240912 19:08:00 Europe/Helsinki, O: 221.94, H: 221.96, L: 221.84, C 221.94
Date: 20240912 19:09:00 Europe/Helsinki, O: 221.94, H: 222.01, L: 221.92, C 222.01
Date: 20240912 19:10:00 Europe/Helsinki, O: 222.01, H: 222.1, L: 221.97, C 222.0
Date: 20240912 19:11:00 Europe/Helsinki, O: 222.0, H: 222.09, L: 221.96, C 222.06
Date: 20240912 19:12:00 Europe/Helsinki, O: 222.06, H: 222.07, L: 221.95, C 222.03
Date: 20240912 19:13:00 Europe/Helsinki, O: 222.03, H: 222.04, L: 221.95, C 221.98
Date: 20240912 19:14:00 Europe/Helsinki, O: 221.98, H: 222.03, L: 221.92, C 221.98
Date: 20240912 19:15:00 Europe/Helsinki, O: 221.98, H: 222.01, L: 221.92, C 221.93
Date: 20240912 19:16:00 Europe/Helsinki, O: 221.93, H: 221.94, L: 221.75, C 221.77
Date: 20240912 19:17:00 Europe/Helsinki, O: 221.77, H: 221.79, L: 221.63, C 221.75
Date: 20240912 19:18:00 Europe/Helsinki, O: 221.75, H: 221.76, L: 221.68, C 221.7
Date: 20240912 19:19:00 Europe/Helsinki, O: 221.7, H: 221.76, L: 221.68, C 221.74
Date: 20240912 19:20:00 Europe/Helsinki, O: 221.74, H: 221.75, L: 221.67, C 221.69
Date: 20240912 19:21:00 Europe/Helsinki, O: 221.69, H: 221.77, L: 221.68, C 221.73
Date: 20240912 19:22:00 Europe/Helsinki, O: 221.73, H: 221.77, L: 221.71, C 221.75
Date: 20240912 19:23:00 Europe/Helsinki, O: 221.75, H: 221.82, L: 221.71, C 221.76
Date: 20240912 19:24:00 Europe/Helsinki, O: 221.76, H: 221.82, L: 221.7, C 221.81
Date: 20240912 19:25:00 Europe/Helsinki, O: 221.81, H: 221.93, L: 221.8, C 221.93
Date: 20240912 19:26:00 Europe/Helsinki, O: 221.93, H: 222.0, L: 221.92, C 221.96
Date: 20240912 19:27:00 Europe/Helsinki, O: 221.96, H: 221.97, L: 221.8, C 221.82
